"BAIRRO","COD_MUNICIPIO","MUNICIPIO","NOME_FANTASIA","RAZAO_SOCIAL","VAL_MEDIO_VENDIDO","DISTANCIA"
"CENTRO","2747","DELMIRO GOUVEIA","POSTO ALDO","AUTO POSTO FREITAS & MAIA LTDA","4.8","304465"
"CENTRO","2747","DELMIRO GOUVEIA","POSTO ALINE LTDA - FILIAL 1","POSTO ALINE LTDA","4.884","304465"
"POVOADO SAO SEBASTIAO","2747","DELMIRO GOUVEIA","POSTO ALINE LTDA - FILIAL 02","POSTO ALINE LTDA","4.909","304465"
"CIDADE UNIVERSITARIA","2747","DELMIRO GOUVEIA","POSTO ALINE","POSTO ALINE LTDA","4.933","304465"
"CENTRO","2747","DELMIRO GOUVEIA","POSTO DA PEDRA 1","AUTO POSTO DA PEDRA LTDA","5.095","304465"
"ZONA RURAL","2771","JAPARATINGA","POSTO JAPARATINGA","POSTO JAPARATINGA LTDA","4.695","117414"
"BRASILIA","2835","PIACABUCU","AUTO POSTO TRES IRMAOS","AUTO POSTO TR�S IRM�OS LTDA","4.698","137853"
"CENTRO","2835","PIACABUCU","BARBOSA & ROCHA LTDA","BARBOSA & ROCHA LTDA","4.74","137853"
"ZONA RURAL","2737","CHA PRETA","POSTO BRETAS","M F BRETAS COMBUSTIVEIS LTDA","4.699","108062"
"CENTRO","2737","CHA PRETA","POSBRAL - POSTO BRANDAO EIRELI","POSBRAL - POSTO BRANDAO EIRELI","4.727","108062"
"PAI JOAO","2881","TAQUARANA","POSTO MANGUEIRAO","AUTO POSTO MANGUEIRAO EIRELI","4.699","116620"
"CENTRO","2881","TAQUARANA","POSTO MIRANTE","POSTO DE COMBUSTIVEL MIRANTE LTDA","4.705","116620"
"CENTRO","2881","TAQUARANA","AUTO POSTO SANTA CRUZ","S.A DA SILVA E CIA LTDA","4.716","116620"
"CENTRO","2787","MAJOR ISIDORO","AUTO POSTO SANTANA CENTER","MESSIAS ITALO MARIANO SILVA","4.713","194007"
"ZONA RURAL","2787","MAJOR ISIDORO","POSTO VITORINO","S VITORINO DA SILVA DIESEL","4.797","194007"
"CENTRO","2787","MAJOR ISIDORO","AUTO POSTO CENTRAL","MAGNA A DOS SANTOS AUTO POSTO EIRELI","4.909","194007"
"CENTRO","2741","COLONIA LEOPOLDINA","AUTO POSTO ZUADOR","L D LOPES SOARES","4.718","116750"
"LOTEAMENTO JARDIM","2741","COLONIA LEOPOLDINA","AUTO POSTO CASTELIANO","ANDRESSA PEREIRA ALVES","4.733","116750"
"CENTRO","2851","QUEBRANGULO","POSTO POLLYANNA","MARIA JOSE CAVALCANTE DE SOUZA","4.72","125040"
"CENTRO","2759","IBATEGUARA","POSTO NOVO HORIZONTE","POSTO NOVO HORIZONTE LTDA","4.726","117600"
"CENTRO","2759","IBATEGUARA","AUTO POSTO TOP LINE","AUTO POSTO TOP LINE LTDA","4.734","117600"
"CANAFISTULA","2757","GIRAU DO PONCIANO","POSTO NOSSA SENHORA DA CONCEICAO","JOSE BARBOSA DE CARVALHO & CIA LTDA","4.726","158909"
"CENTRO","2757","GIRAU DO PONCIANO","AUTOPEL","AUTOPEL-AUTO POSTO PROGRESSO LTDA","4.745","158909"
"PROGRESSO","2757","GIRAU DO PONCIANO","AUTOPEL","AUTOPEL-AUTO POSTO PROGRESSO LTDA","4.753","158909"
"ZONA RURAL","2827","PAO DE ACUCAR","POSTO SAO LUCAS","ADRYANA DOS SANTOS CORDEIRO","4.727","238333"
"CENTRO","2827","PAO DE ACUCAR","D S GONCALVES COMBUSTIVEIS E LUBRIFICANTES","D S GONCALVES COMBUSTIVEIS E LUBRIFICANTES","4.747","238333"
"CENTRO","2827","PAO DE ACUCAR","POSTO TEXACO SAO FRANCISCO","JOSE GENTIL SANTOS","4.752","238333"
"CENTRO","2735","CARNEIROS","AUTO POSTO CARNEIROS","OSMAR LIMEIRA MELO","4.73","227285"
"CENTRO","2701","AGUA BRANCA","POSTO ALTO DA SERRA","JF COMBUSTIVEIS LTDA","4.737","308103"
"CENTRO","2701","AGUA BRANCA","AUTO POSTO AGUA BRANCA","GILVAN MARTINS DE SOUZA","4.761","308103"
"POV. TABELA","2701","AGUA BRANCA","POSTO CANGACO","J B E COM. DE COMBUSTIVEIS E DERIVADOS DE PETROLEO LTDA.","4.773","308103"
"ZONA RURAL","2767","JACARE DOS HOMENS","AUTO POSTO 2 IRMAOS","SAMS COMERCIO DE COMBUSTIVEIS E LUBRIFICANTES LTDA.","4.741","195430"
"ZONA RURAL","2739","COITE DO NOIA","AUTO POSTO T H","AUTO POSTO T H LTDA","4.741","131772"
"ZONA RURAL","2807","MONTEIROPOLIS","AUTO POSTO MONTEIROPOLIS","SEMAN COMERCIO DE COMBUSTIVEIS E DERIVADOS DE PETROLEO LTDA.","4.747","202762"
"CENTRO","2799","MATA GRANDE","POSTO TEXACO OASIS DO SERTAO","EVERALDO GOMES DE SOUSA","4.748","273144"
"ZONA RURAL","2799","MATA GRANDE","AUTO POSTO SERRANO","AUTO POSTO SERRANO LTDA","4.778","273144"
"SITIO TERRA NOVA","2799","MATA GRANDE","AUTO POSTO JG","AUTO POSTO J G LTDA","4.823","273144"
"CENTRO","2799","MATA GRANDE","AUTO POSTO SAO JOSE","AUTO POSTO SAO JOSE LTDA","4.825","273144"
"BOM SUCESSO","2799","MATA GRANDE","AUTO POSTO FARIAS","AUTO POSTO FARIAS LTDA","4.899","273144"
"CENTRO","2833","PENEDO","POSTO MARINHO","M. A. C. SANTOS MARINHO","4.752","167403"
"SANTA LUZIA","2833","PENEDO","MARTA CRISTINA SOBRAL","MARTA CRISTINA SOBRAL","4.754","167403"
"SENHOR DO BONFIM","2833","PENEDO","AUTO POSTO APICE","SCS COMBUSTIVEIS EIRELI","4.761","167403"
"DOM CONSTANTINO","2833","PENEDO","POSTO GRANDE RIO I","DISTRIBUIDORA DE VEICULOS CONFIANCA LIMITADA","4.854","167403"
"SANTA LUZIA","2833","PENEDO","POSTO SAO PEDRO","BARBOSA & ROCHA LTDA","4.857","167403"
"CENTRO","2833","PENEDO","IMPORTADORA BARBOSA LTDA","IMPORTADORA BARBOSA LTDA","4.86","167403"
"SANTA LUZIA","2833","PENEDO","POSTO GRANDE RIO II","DISTRIBUIDORA DE VEICULOS CONFIANCA LIMITADA","4.947","167403"
"ZONA RURAL","2815","OLHO D'AGUA DO CASADO","AUTO POSTO CASADO","AUTO POSTO CASADO LTDA","4.779","271871"
"CENTRO","2815","OLHO D'AGUA DO CASADO","POSTO OLHO DAGUA DO CASADO","GILVAN MARTINS DE SOUZA","4.78","271871"
"CENTRO","2763","IGREJA NOVA","AUTO POSTO JA","AUTO POSTO OURO VERDE EIRELI","4.789","160756"
"CENTRO","2645","PARICONHA","AUTO POSTO PARICONHA","AUTO POSTO L A LTDA","4.839","309406"
"POVOADO TOQUE","2873","SAO MIGUEL DOS MILAGRES","POSTO JADSON","JADSON LESSA DOS SANTOS","4.85","93738"
"ZONA URBANA","2873","SAO MIGUEL DOS MILAGRES","POSTO SAO LUCAS","AUTO POSTO SAO LUCAS LTDA","4.921","93738"
"PORTO DA RUA","2873","SAO MIGUEL DOS MILAGRES","PORTO DO TOQUE AUTO POSTO","DO TOQUE AUTO POSTO LTDA","5.0","93738"
"CENTRO","2729","CAMPO GRANDE","AUTOPEL","AUTO POSTO CAMPO GRANDE LTDA","4.88","155496"
"LUIZ G DE CARVALHO","2821","OURO BRANCO","POSTO BR 423","VALDECI F. DE ASSIS","4.898","242831"
"LUIZ GONZAGA DE CARVALHO","2821","OURO BRANCO","AUTO POSTO E POUSADA LIMEIRINHA","ROBERTO VICTOR L DE CARVALHO","4.977","242831"
"JOAO ALVES DA SILVA","2821","OURO BRANCO","POSTO ALMEIDA","POSTO ALMEIDA EIRELI","5.0","242831"
"ZONA RURAL","0562","JEQUIA DA PRAIA","POSTO SAO JOSE","LUCIANO GOMES AMARAL COMBUSTIVEIS","4.91","65644"
"ZONA RURAL","2891","SENADOR RUI PALMEIRA","AUTO POSTO SANTO ANTONIO","ANDRADE E CHAGAS COMERCIO DE COMBUSTIVEIS LTDA","4.929","236052"
"CENTRO","2883","TRAIPU","POSTO NOSSA SENHORA DO O LTDA","POSTO NOSSA SENHORA DO O LTDA","4.958","186714"
"ZONA RURAL","2829","PASSO DE CAMARAGIBE","POSTO MILAGRES","SILVA E SILVA COMERCIO DE COMBUSTIVEIS LTDA","5.004","72468"
"SITIO QUIZANGA","2847","PORTO DE PEDRAS","POSTO PATACHO","BORGHETTI & BORGHETTI LTDA","5.184","120036"
