"CNPJ","DSC_PRODUTO","DIA","MES","ANO","VAL_MEDIO_VENDIDO"
6053479000100,"GASOLINA  ADITIVADA",23,7,2019,"4.647945191"
6053479000100,"GASOLINA  ADITIVADA",24,7,2019,"4.608753916"
6053479000100,"GASOLINA  ADITIVADA",25,7,2019,"4.5992877"
6053479000100,"GASOLINA  ADITIVADA",26,7,2019,"4.599382565"
6053479000100,"GASOLINA  ADITIVADA",27,7,2019,"4.599491826"
6053479000100,"GASOLINA  ADITIVADA",28,7,2019,"4.599546487"
6053479000100,"GASOLINA  ADITIVADA",29,7,2019,"4.599394756"
9231306000123,"GASOLINA  ADITIVADA",10,7,2019,"4.497915847"
9231306000123,"GASOLINA  ADITIVADA",11,7,2019,"4.49780771"
9231306000123,"GASOLINA  ADITIVADA",12,7,2019,"4.497559432"
9231306000123,"GASOLINA  ADITIVADA",13,7,2019,"4.49794925"
9231306000123,"GASOLINA  ADITIVADA",14,7,2019,"4.497101659"
9231306000123,"GASOLINA  ADITIVADA",15,7,2019,"4.497458796"
9231306000123,"GASOLINA  ADITIVADA",16,7,2019,"4.496632295"
9231306000123,"GASOLINA  ADITIVADA",17,7,2019,"4.497368308"
9231306000123,"GASOLINA  ADITIVADA",18,7,2019,"4.497679741"
9231306000123,"GASOLINA  ADITIVADA",19,7,2019,"4.462860529"
9231306000123,"GASOLINA  ADITIVADA",20,7,2019,"4.39806814"
9231306000123,"GASOLINA  ADITIVADA",21,7,2019,"4.397645154"
9231306000123,"GASOLINA  ADITIVADA",22,7,2019,"4.250768767"
9231306000123,"GASOLINA  ADITIVADA",23,7,2019,"4.397914924"
9231306000123,"GASOLINA  ADITIVADA",24,7,2019,"4.396873664"
9231306000123,"GASOLINA  ADITIVADA",25,7,2019,"4.397731896"
9231306000123,"GASOLINA  ADITIVADA",26,7,2019,"4.39787252"
9231306000123,"GASOLINA  ADITIVADA",27,7,2019,"4.285002261"
9231306000123,"GASOLINA  ADITIVADA",28,7,2019,"4.397517456"
9231306000123,"GASOLINA  ADITIVADA",29,7,2019,"4.397527686"
9321716000165,"GASOLINA  ADITIVADA",10,7,2019,"4.67956124"
9321716000165,"GASOLINA  ADITIVADA",11,7,2019,"4.6792096"
9321716000165,"GASOLINA  ADITIVADA",12,7,2019,"4.679628083"
9321716000165,"GASOLINA  ADITIVADA",13,7,2019,"4.665834874"
9321716000165,"GASOLINA  ADITIVADA",14,7,2019,"4.629783138"
9321716000165,"GASOLINA  ADITIVADA",15,7,2019,"4.629655879"
9321716000165,"GASOLINA  ADITIVADA",16,7,2019,"4.629792165"
9321716000165,"GASOLINA  ADITIVADA",17,7,2019,"4.629835815"
9321716000165,"GASOLINA  ADITIVADA",18,7,2019,"4.629688066"
9321716000165,"GASOLINA  ADITIVADA",19,7,2019,"4.629489063"
9321716000165,"GASOLINA  ADITIVADA",20,7,2019,"4.629701297"
9321716000165,"GASOLINA  ADITIVADA",21,7,2019,"4.629790642"
9321716000165,"GASOLINA  ADITIVADA",22,7,2019,"4.629798482"
9321716000165,"GASOLINA  ADITIVADA",23,7,2019,"4.629799766"
9321716000165,"GASOLINA  ADITIVADA",24,7,2019,"4.629450921"
9321716000165,"GASOLINA  ADITIVADA",25,7,2019,"4.629782717"
9321716000165,"GASOLINA  ADITIVADA",26,7,2019,"4.629594366"
9321716000165,"GASOLINA  ADITIVADA",27,7,2019,"4.629670852"
9321716000165,"GASOLINA  ADITIVADA",28,7,2019,"4.629711853"
9321716000165,"GASOLINA  ADITIVADA",29,7,2019,"4.629841198"
12451076000112,"GASOLINA  ADITIVADA",10,7,2019,"4.761436459"
12451076000112,"GASOLINA  ADITIVADA",11,7,2019,"4.737979654"
12451076000112,"GASOLINA  ADITIVADA",12,7,2019,"4.749157228"
12451076000112,"GASOLINA  ADITIVADA",13,7,2019,"4.733801233"
